[2023-04-15 13:44:38,600] 36	T_sample 44.57	T_update 3.77	ETA 2 days, 11:55:46	expert_R_avg 0.4971 [0.6190,0.7486,0.3342,0.5688,0.9299]	expert_R_range (0.0919, 0.9882)	eps_len 27.84
[2023-04-15 13:45:27,063] 37	T_sample 44.66	T_update 3.76	ETA 2 days, 12:00:45	expert_R_avg 0.4954 [0.6178,0.7481,0.3300,0.5731,0.9299]	expert_R_range (0.1006, 0.9886)	eps_len 27.94
[2023-04-15 13:46:15,622] 38	T_sample 44.75	T_update 3.77	ETA 2 days, 12:07:03	expert_R_avg 0.4999 [0.6205,0.7470,0.3394,0.5699,0.9295]	expert_R_range (0.0882, 0.9911)	eps_len 27.92
[2023-04-15 13:47:02,034] 39	T_sample 42.60	T_update 3.77	ETA 2 days, 9:26:43	expert_R_avg 0.4916 [0.5995,0.7506,0.3282,0.5812,0.9302]	expert_R_range (0.0927, 0.9893)	eps_len 30.58
[2023-04-15 13:47:48,103] 40	T_sample 42.24	T_update 3.78	ETA 2 days, 9:00:24	expert_R_avg 0.4896 [0.5987,0.7490,0.3253,0.5789,0.9300]	expert_R_range (0.1031, 0.9883)	eps_len 31.04
[2023-04-15 13:48:30,843] 41	T_sample 38.94	T_update 3.76	ETA 2 days, 4:52:21	expert_R_avg 0.4806 [0.5622,0.7579,0.3184,0.5947,0.9276]	expert_R_range (0.1057, 0.9892)	eps_len 34.18
[2023-04-15 13:49:14,187] 42	T_sample 39.53	T_update 3.77	ETA 2 days, 5:36:25	expert_R_avg 0.4811 [0.5634,0.7556,0.3195,0.5938,0.9273]	expert_R_range (0.1048, 0.9882)	eps_len 34.31
[2023-04-15 13:49:57,000] 43	T_sample 39.01	T_update 3.76	ETA 2 days, 4:56:18	expert_R_avg 0.4838 [0.5641,0.7565,0.3244,0.5943,0.9267]	expert_R_range (0.0922, 0.9879)	eps_len 34.71
[2023-04-15 13:50:45,163] 44	T_sample 44.35	T_update 3.77	ETA 2 days, 11:32:51	expert_R_avg 0.5037 [0.6215,0.7460,0.3448,0.5765,0.9279]	expert_R_range (0.0906, 0.9889)	eps_len 29.03
[2023-04-15 13:51:32,545] 45	T_sample 43.56	T_update 3.78	ETA 2 days, 10:33:57	expert_R_avg 0.5020 [0.6210,0.7446,0.3424,0.5747,0.9275]	expert_R_range (0.0783, 0.9907)	eps_len 29.08
[2023-04-15 13:52:19,951] 46	T_sample 43.59	T_update 3.77	ETA 2 days, 10:35:06	expert_R_avg 0.5050 [0.6218,0.7448,0.3488,0.5734,0.9270]	expert_R_range (0.0744, 0.9898)	eps_len 29.17
[2023-04-15 13:53:07,761] 47	T_sample 43.99	T_update 3.77	ETA 2 days, 11:04:07	expert_R_avg 0.5064 [0.6230,0.7442,0.3514,0.5723,0.9268]	expert_R_range (0.0928, 0.9883)	eps_len 29.44
[2023-04-15 13:53:54,579] 48	T_sample 43.01	T_update 3.76	ETA 2 days, 9:49:48	expert_R_avg 0.5081 [0.6239,0.7430,0.3552,0.5711,0.9267]	expert_R_range (0.0989, 0.9905)	eps_len 29.56
[2023-04-15 13:54:41,197] 49	T_sample 42.80	T_update 3.77	ETA 2 days, 9:34:05	expert_R_avg 0.5076 [0.6222,0.7408,0.3541,0.5749,0.9262]	expert_R_range (0.0897, 0.9894)	eps_len 30.00
[2023-04-15 13:55:27,711] 50	T_sample 42.69	T_update 3.78	ETA 2 days, 9:25:40	expert_R_avg 0.5083 [0.6243,0.7427,0.3543,0.5749,0.9258]	expert_R_range (0.0770, 0.9890)	eps_len 30.09
[2023-04-15 13:56:12,329] 51	T_sample 40.80	T_update 3.77	ETA 2 days, 7:04:21	expert_R_avg 0.4970 [0.6063,0.7495,0.3378,0.5768,0.9274]	expert_R_range (0.1216, 0.9890)	eps_len 32.53
[2023-04-15 13:56:56,891] 52	T_sample 40.74	T_update 3.78	ETA 2 days, 6:59:33	expert_R_avg 0.4966 [0.6062,0.7496,0.3358,0.5802,0.9275]	expert_R_range (0.1244, 0.9894)	eps_len 32.48
[2023-04-15 13:57:40,962] 53	T_sample 40.25	T_update 3.77	ETA 2 days, 6:22:07	expert_R_avg 0.4991 [0.6072,0.7493,0.3405,0.5808,0.9270]	expert_R_range (0.1277, 0.9912)	eps_len 32.83
[2023-04-15 13:58:22,145] 54	T_sample 37.38	T_update 3.76	ETA 2 days, 2:47:45	expert_R_avg 0.4865 [0.5693,0.7520,0.3275,0.5970,0.9235]	expert_R_range (0.1111, 0.9875)	eps_len 37.10
[2023-04-15 13:59:02,945] 55	T_sample 36.97	T_update 3.79	ETA 2 days, 2:18:25	expert_R_avg 0.4891 [0.5700,0.7516,0.3326,0.5974,0.9232]	expert_R_range (0.0847, 0.9880)	eps_len 37.80
[2023-04-15 13:59:49,066] 56	T_sample 42.30	T_update 3.78	ETA 2 days, 8:52:02	expert_R_avg 0.5146 [0.6294,0.7437,0.3636,0.5785,0.9247]	expert_R_range (0.0753, 0.9900)	eps_len 30.73
[2023-04-15 14:00:34,623] 57	T_sample 41.73	T_update 3.78	ETA 2 days, 8:09:22	expert_R_avg 0.5141 [0.6292,0.7401,0.3640,0.5764,0.9248]	expert_R_range (0.0863, 0.9879)	eps_len 30.75
[2023-04-15 14:01:20,465] 58	T_sample 42.02	T_update 3.78	ETA 2 days, 8:29:51	expert_R_avg 0.5161 [0.6280,0.7401,0.3681,0.5784,0.9242]	expert_R_range (0.0717, 0.9884)	eps_len 30.94
[2023-04-15 14:02:06,297] 59	T_sample 42.01	T_update 3.78	ETA 2 days, 8:28:16	expert_R_avg 0.5150 [0.6299,0.7410,0.3653,0.5763,0.9241]	expert_R_range (0.0828, 0.9887)	eps_len 30.99
[2023-04-15 14:02:51,814] 60	T_sample 41.69	T_update 3.79	ETA 2 days, 8:04:16	expert_R_avg 0.5182 [0.6314,0.7396,0.3706,0.5793,0.9237]	expert_R_range (0.0847, 0.9910)	eps_len 31.17
[2023-04-15 14:03:36,838] 61	T_sample 41.20	T_update 3.78	ETA 2 days, 7:26:57	expert_R_avg 0.5191 [0.6315,0.7395,0.3727,0.5783,0.9236]	expert_R_range (0.1013, 0.9880)	eps_len 31.20
[2023-04-15 14:04:21,556] 62	T_sample 40.88	T_update 3.80	ETA 2 days, 7:03:41	expert_R_avg 0.5170 [0.6293,0.7376,0.3681,0.5833,0.9227]	expert_R_range (0.1059, 0.9883)	eps_len 31.45
[2023-04-15 14:05:06,252] 63	T_sample 40.85	T_update 3.80	ETA 2 days, 7:01:13	expert_R_avg 0.5207 [0.6306,0.7363,0.3773,0.5776,0.9229]	expert_R_range (0.0826, 0.9903)	eps_len 31.58
[2023-04-15 14:05:49,541] 64	T_sample 39.46	T_update 3.78	ETA 2 days, 5:16:26	expert_R_avg 0.5060 [0.6110,0.7471,0.3526,0.5837,0.9250]	expert_R_range (0.1059, 0.9882)	eps_len 33.61
[2023-04-15 14:06:32,877] 65	T_sample 39.51	T_update 3.78	ETA 2 days, 5:19:16	expert_R_avg 0.5089 [0.6130,0.7458,0.3585,0.5815,0.9247]	expert_R_range (0.0843, 0.9894)	eps_len 33.73
[2023-04-15 14:07:15,398] 66	T_sample 38.71	T_update 3.77	ETA 2 days, 4:18:23	expert_R_avg 0.5061 [0.6120,0.7469,0.3534,0.5804,0.9243]	expert_R_range (0.0800, 0.9875)	eps_len 34.44
[2023-04-15 14:07:55,191] 67	T_sample 35.97	T_update 3.78	ETA 2 days, 0:56:05	expert_R_avg 0.4928 [0.5761,0.7470,0.3359,0.6047,0.9202]	expert_R_range (0.1015, 0.9867)	eps_len 39.22
[2023-04-15 14:08:35,005] 68	T_sample 35.98	T_update 3.79	ETA 2 days, 0:56:52	expert_R_avg 0.4979 [0.5751,0.7480,0.3477,0.6023,0.9202]	expert_R_range (0.0857, 0.9882)	eps_len 39.07
[2023-04-15 14:09:19,617] 69	T_sample 40.78	T_update 3.79	ETA 2 days, 6:50:36	expert_R_avg 0.5247 [0.6363,0.7362,0.3806,0.5844,0.9215]	expert_R_range (0.0890, 0.9880)	eps_len 32.09
[2023-04-15 14:10:04,190] 70	T_sample 40.74	T_update 3.79	ETA 2 days, 6:46:55	expert_R_avg 0.5232 [0.6345,0.7366,0.3796,0.5809,0.9213]	expert_R_range (0.0783, 0.9918)	eps_len 32.45
[2023-04-15 14:10:48,091] 71	T_sample 40.08	T_update 3.78	ETA 2 days, 5:56:34	expert_R_avg 0.5226 [0.6334,0.7352,0.3774,0.5863,0.9206]	expert_R_range (0.0955, 0.9906)	eps_len 32.64
[2023-04-15 14:11:32,074] 72	T_sample 40.16	T_update 3.78	ETA 2 days, 6:01:48	expert_R_avg 0.5246 [0.6361,0.7352,0.3815,0.5825,0.9203]	expert_R_range (0.0917, 0.9900)	eps_len 32.79
[2023-04-15 14:12:16,033] 73	T_sample 40.13	T_update 3.78	ETA 2 days, 5:59:20	expert_R_avg 0.5265 [0.6391,0.7365,0.3830,0.5846,0.9197]	expert_R_range (0.0918, 0.9888)	eps_len 32.74
[2023-04-15 14:12:59,698] 74	T_sample 39.83	T_update 3.79	ETA 2 days, 5:36:59	expert_R_avg 0.5272 [0.6381,0.7351,0.3850,0.5857,0.9193]	expert_R_range (0.0909, 0.9885)	eps_len 33.01
[2023-04-15 14:13:42,819] 75	T_sample 39.30	T_update 3.78	ETA 2 days, 4:56:08	expert_R_avg 0.5275 [0.6379,0.7338,0.3854,0.5872,0.9188]	expert_R_range (0.0985, 0.9910)	eps_len 33.31
[2023-04-15 14:14:25,131] 76	T_sample 38.49	T_update 3.78	ETA 2 days, 3:55:53	expert_R_avg 0.5129 [0.6168,0.7446,0.3640,0.5859,0.9212]	expert_R_range (0.0936, 0.9874)	eps_len 35.18
[2023-04-15 14:15:07,711] 77	T_sample 38.75	T_update 3.79	ETA 2 days, 4:14:48	expert_R_avg 0.5144 [0.6177,0.7443,0.3677,0.5830,0.9211]	expert_R_range (0.1003, 0.9891)	eps_len 34.81
[2023-04-15 14:15:49,706] 78	T_sample 38.15	T_update 3.80	ETA 2 days, 3:30:58	expert_R_avg 0.5126 [0.6160,0.7441,0.3639,0.5855,0.9210]	expert_R_range (0.1142, 0.9881)	eps_len 35.66
[2023-04-15 14:16:28,474] 79	T_sample 34.93	T_update 3.79	ETA 1 day, 23:32:36	expert_R_avg 0.5009 [0.5779,0.7394,0.3511,0.6120,0.9156]	expert_R_range (0.1058, 0.9900)	eps_len 40.57
[2023-04-15 14:17:07,044] 80	T_sample 34.74	T_update 3.78	ETA 1 day, 23:17:25	expert_R_avg 0.5042 [0.5792,0.7406,0.3577,0.6101,0.9151]	expert_R_range (0.0989, 0.9872)	eps_len 40.91
[2023-04-15 14:17:50,500] 81	T_sample 39.61	T_update 3.80	ETA 2 days, 5:16:30	expert_R_avg 0.5291 [0.6406,0.7341,0.3861,0.5913,0.9170]	expert_R_range (0.1047, 0.9882)	eps_len 33.55
[2023-04-15 14:18:34,050] 82	T_sample 39.71	T_update 3.80	ETA 2 days, 5:22:33	expert_R_avg 0.5270 [0.6396,0.7309,0.3844,0.5866,0.9169]	expert_R_range (0.0922, 0.9885)	eps_len 33.33
[2023-04-15 14:19:17,377] 83	T_sample 39.49	T_update 3.79	ETA 2 days, 5:05:36	expert_R_avg 0.5271 [0.6392,0.7314,0.3850,0.5856,0.9171]	expert_R_range (0.1130, 0.9877)	eps_len 33.73
[2023-04-15 14:20:00,002] 84	T_sample 38.79	T_update 3.79	ETA 2 days, 4:13:11	expert_R_avg 0.5301 [0.6416,0.7332,0.3889,0.5884,0.9164]	expert_R_range (0.0819, 0.9902)	eps_len 34.12
[2023-04-15 14:20:43,290] 85	T_sample 39.45	T_update 3.79	ETA 2 days, 5:01:12	expert_R_avg 0.5301 [0.6413,0.7295,0.3893,0.5897,0.9158]	expert_R_range (0.0975, 0.9900)	eps_len 33.93
[2023-04-15 14:21:26,123] 86	T_sample 39.01	T_update 3.78	ETA 2 days, 4:26:56	expert_R_avg 0.5315 [0.6397,0.7290,0.3919,0.5933,0.9154]	expert_R_range (0.0748, 0.9890)	eps_len 34.16
[2023-04-15 14:22:08,330] 87	T_sample 38.37	T_update 3.79	ETA 2 days, 3:40:17	expert_R_avg 0.5296 [0.6413,0.7295,0.3891,0.5873,0.9153]	expert_R_range (0.0943, 0.9882)	eps_len 34.70
[2023-04-15 14:22:50,856] 88	T_sample 38.70	T_update 3.78	ETA 2 days, 4:03:06	expert_R_avg 0.5295 [0.6412,0.7293,0.3880,0.5904,0.9148]	expert_R_range (0.0847, 0.9886)	eps_len 34.44
[2023-04-15 14:23:32,600] 89	T_sample 37.92	T_update 3.78	ETA 2 days, 3:04:57	expert_R_avg 0.5198 [0.6222,0.7420,0.3756,0.5877,0.9184]	expert_R_range (0.1039, 0.9882)	eps_len 35.63
[2023-04-15 14:24:14,368] 90	T_sample 37.94	T_update 3.78	ETA 2 days, 3:06:00	expert_R_avg 0.5228 [0.6212,0.7406,0.3813,0.5920,0.9179]	expert_R_range (0.1045, 0.9862)	eps_len 35.79
[2023-04-15 14:24:56,193] 91	T_sample 38.00	T_update 3.78	ETA 2 days, 3:09:18	expert_R_avg 0.5232 [0.6215,0.7408,0.3823,0.5908,0.9178]	expert_R_range (0.1237, 0.9879)	eps_len 36.04
[2023-04-15 14:25:34,135] 92	T_sample 34.11	T_update 3.78	ETA 1 day, 22:23:37	expert_R_avg 0.5047 [0.5830,0.7375,0.3558,0.6157,0.9116]	expert_R_range (0.0803, 0.9874)	eps_len 42.23
[2023-04-15 14:26:12,420] 93	T_sample 34.46	T_update 3.78	ETA 1 day, 22:48:10	expert_R_avg 0.5060 [0.5828,0.7381,0.3585,0.6159,0.9114]	expert_R_range (0.0769, 0.9885)	eps_len 42.17
[2023-04-15 14:26:55,307] 94	T_sample 39.06	T_update 3.79	ETA 2 days, 4:25:20	expert_R_avg 0.5296 [0.6447,0.7281,0.3880,0.5866,0.9130]	expert_R_range (0.1110, 0.9900)	eps_len 34.92
[2023-04-15 14:27:37,267] 95	T_sample 38.12	T_update 3.79	ETA 2 days, 3:16:21	expert_R_avg 0.5297 [0.6432,0.7270,0.3885,0.5888,0.9127]	expert_R_range (0.0900, 0.9890)	eps_len 35.33
[2023-04-15 14:28:18,874] 96	T_sample 37.77	T_update 3.79	ETA 2 days, 2:49:55	expert_R_avg 0.5324 [0.6454,0.7279,0.3910,0.5945,0.9124]	expert_R_range (0.0913, 0.9882)	eps_len 35.68
[2023-04-15 14:29:00,657] 97	T_sample 37.95	T_update 3.79	ETA 2 days, 3:02:03	expert_R_avg 0.5339 [0.6462,0.7280,0.3931,0.5966,0.9118]	expert_R_range (0.1124, 0.9902)	eps_len 35.50
[2023-04-15 14:29:42,012] 98	T_sample 37.52	T_update 3.79	ETA 2 days, 2:30:08	expert_R_avg 0.5336 [0.6450,0.7255,0.3943,0.5942,0.9112]	expert_R_range (0.0834, 0.9882)	eps_len 35.59
[2023-04-15 14:30:23,901] 99	T_sample 38.05	T_update 3.79	ETA 2 days, 3:08:25	expert_R_avg 0.5338 [0.6466,0.7247,0.3955,0.5900,0.9105]	expert_R_range (0.0927, 0.9881)	eps_len 35.59
[2023-04-15 14:31:05,666] 100	T_sample 37.92	T_update 3.79	ETA 2 days, 2:58:04	expert_R_avg 0.5356 [0.6482,0.7280,0.3965,0.5939,0.9106]	expert_R_range (0.0948, 0.9900)	eps_len 35.53
[2023-04-15 14:31:46,887] 101	T_sample 37.40	T_update 3.78	ETA 2 days, 2:18:17	expert_R_avg 0.5265 [0.6249,0.7372,0.3858,0.5984,0.9144]	expert_R_range (0.1203, 0.9878)	eps_len 36.84
[2023-04-15 14:32:28,154] 102	T_sample 37.42	T_update 3.80	ETA 2 days, 2:21:04	expert_R_avg 0.5271 [0.6231,0.7382,0.3879,0.5987,0.9142]	expert_R_range (0.1267, 0.9872)	eps_len 36.56
[2023-04-15 14:33:08,739] 103	T_sample 36.75	T_update 3.79	ETA 2 days, 1:30:11	expert_R_avg 0.5276 [0.6238,0.7368,0.3887,0.5984,0.9137]	expert_R_range (0.0882, 0.9877)	eps_len 37.46
[2023-04-15 14:33:46,956] 104	T_sample 34.39	T_update 3.79	ETA 1 day, 22:36:06	expert_R_avg 0.5059 [0.5910,0.7310,0.3566,0.6132,0.9067]	expert_R_range (0.0812, 0.9893)	eps_len 42.07
[2023-04-15 14:34:24,935] 105	T_sample 34.14	T_update 3.79	ETA 1 day, 22:18:14	expert_R_avg 0.5133 [0.5889,0.7317,0.3702,0.6214,0.9059]	expert_R_range (0.0934, 0.9880)	eps_len 42.52
[2023-04-15 14:35:06,501] 106	T_sample 37.73	T_update 3.79	ETA 2 days, 2:40:08	expert_R_avg 0.5374 [0.6493,0.7235,0.3997,0.5965,0.9085]	expert_R_range (0.0631, 0.9887)	eps_len 36.39
[2023-04-15 14:35:47,856] 107	T_sample 37.52	T_update 3.79	ETA 2 days, 2:23:59	expert_R_avg 0.5319 [0.6471,0.7224,0.3916,0.5906,0.9079]	expert_R_range (0.1065, 0.9889)	eps_len 36.72
[2023-04-15 14:36:29,177] 108	T_sample 37.49	T_update 3.79	ETA 2 days, 2:20:50	expert_R_avg 0.5350 [0.6503,0.7233,0.3939,0.5979,0.9078]	expert_R_range (0.0906, 0.9880)	eps_len 36.84
[2023-04-15 14:37:10,377] 109	T_sample 37.37	T_update 3.79	ETA 2 days, 2:11:03	expert_R_avg 0.5348 [0.6495,0.7199,0.3964,0.5922,0.9071]	expert_R_range (0.1036, 0.9882)	eps_len 36.31
[2023-04-15 14:37:51,389] 110	T_sample 37.18	T_update 3.79	ETA 2 days, 1:56:58	expert_R_avg 0.5344 [0.6474,0.7217,0.3953,0.5952,0.9067]	expert_R_range (0.0685, 0.9895)	eps_len 37.18
[2023-04-15 14:38:31,624] 111	T_sample 36.40	T_update 3.79	ETA 2 days, 0:59:13	expert_R_avg 0.5319 [0.6496,0.7230,0.3906,0.5903,0.9061]	expert_R_range (0.1115, 0.9887)	eps_len 37.57
[2023-04-15 14:39:11,987] 112	T_sample 36.54	T_update 3.78	ETA 2 days, 1:07:59	expert_R_avg 0.5370 [0.6508,0.7208,0.3988,0.5970,0.9055]	expert_R_range (0.1017, 0.9881)	eps_len 37.82
[2023-04-15 14:39:52,595] 113	T_sample 36.78	T_update 3.78	ETA 2 days, 1:25:15	expert_R_avg 0.5316 [0.6279,0.7339,0.3944,0.6032,0.9102]	expert_R_range (0.0782, 0.9884)	eps_len 37.33
[2023-04-15 14:40:33,428] 114	T_sample 37.01	T_update 3.78	ETA 2 days, 1:41:01	expert_R_avg 0.5330 [0.6278,0.7335,0.3970,0.6042,0.9099]	expert_R_range (0.0842, 0.9872)	eps_len 37.46
[2023-04-15 14:41:13,791] 115	T_sample 36.54	T_update 3.78	ETA 2 days, 1:05:52	expert_R_avg 0.5341 [0.6272,0.7334,0.3994,0.6049,0.9097]	expert_R_range (0.1075, 0.9872)	eps_len 37.90
[2023-04-15 14:41:51,817] 116	T_sample 34.20	T_update 3.79	ETA 1 day, 22:14:43	expert_R_avg 0.5120 [0.5965,0.7297,0.3650,0.6199,0.9024]	expert_R_range (0.1057, 0.9891)	eps_len 42.97
